WO,Machine_categori,Machine_description,Instruction,Short_description,Technicians_description,Spareparts,Costumer_mistake_mads,Invoiced
WO045005,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Lækker vand under bunden Bekræfter at spildbakke er skubbet helt ind mod maskinen ,Lækker vand under bunden Bekræfter at spildbakke er skubbet helt ind mod maskinen,,,Ja,Ja
WO044993,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS TC,Står hele dagen og drypper vand under maskine Bagtil ved rør ,Står hele dagen og drypper vand under maskine Bagtil ved rør,,127140,Nej,Nej
WO044982,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2,Ved mælkedrikke udlevere den ikke mælk Har efterset mælkesug og melder ofte milk temperature high i beholder 1 ,Ved mælkedrikke udlevere den ikke mælk Har efterset mælkesug og melder ofte milk temperature high i beholder 1,BCA er det vores eller kundes skyld JJJ oplyser at der har været vvs'er på adressen Afløb er trukket dårligt og langt samt koblet sammen med 2 slanger ,,Ja,Ja
WO045004,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS TC,Køler ikke nok der er vand i grumsen ,Køler ikke nok der er vand i grumsen,ASA Personale har info til PM ved besøg på anden maskine ,,Nej,Nej
WO044968,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS,Pind inde ved røde rensenøgle er knækket Kørt renseprogrammet Testet ,Pind inde ved røde rensenøgle er knækketKørt renseprogrammet Testet,Kode til tekniker Maskinen registrere ikke kafferensetabs Piston er knækket Se løsningsforslag i fejlkodedokumentet,133555,Ja,Ja
WO044960,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,sTOPPET TIL I CACAO IGEN,sTOPPET TIL I CACAO IGEN,,127732,Måske,Nej
WO044944,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 TC,Maskine melder waterflow error Er åbent for vand ,Maskine melder waterflow error Er åbent for vand,,104360,Nej,Nej
WO044829,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 RS TC extern grums,Spørg efter Gitte ved ankomst Maskinen skrev noget med vandtryk og så fejlede den Den smider grums i maskine og drypbakke ,Spørg efter Gitte ved ankomst Maskinen skrev noget med vandtryk og så fejlede den Den smider grums i maskine og drypbakke,,,Nej,Nej
WO044837,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Maskine udleverer ingen kakao ,Maskine udleverer ingen kakao,,,Ja,Nej
WO044848,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS TC,Breakfast Buffet Machine 1# Vand løber over kanten på kakaomixerskål Har forsøgt at rengøre kan ikke se forstoppelser ,Breakfast Buffet Machine 1#Vand løber over kanten på kakaomixerskål Har forsøgt at rengøre kan ikke se forstoppelser,Kode til tekniker Kakao flyder over Kakaotragten er forsøgt rengjort Se løsningsforslag i fejlkodedokumentet,,Ja,Ja
WO044808,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Fylder meget lidt skum i cappuccino ,Fylder meget lidt skum i cappuccino,ASA JJO har filter+eftersyn d 14 6 på denne maskine ,,Nej,Nej
WO044815,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS TC,Kommer meget mælk ud under kaffemaskine i løbet af dagen ,Kommer meget mælk ud under kaffemaskine i løbet af dagen,,126285R,Nej,Nej
WO044809,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Giver ikke altid mælk Kommer mælk i dag men mængde stemmer ikke med drikkende Testet latte og cortado kommer for lidt Tjekket mælkesug ,Giver ikke altid mælk Kommer mælk i dag men mængde stemmer ikke med drikkende Testet latte og cortado kommer for lidt Tjekket mælkesug,Snakket med herre tlf 31994124 Han gik ned til maskinen og der virkede det med mælk men de er ikek sikre på mængden Virkede ikke til at han vidste hvilken mængde de skulle have  se billededokumentation ,,Ja,Ja
WO044767,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P TC,Samme oplevelse som i går Maskine virkede efter besøg Nu registrere den igen ikke rensetabs i blå nøgle Der er en pind i nøglehul til blå nøgle Der bruges 2 tabletter ,Samme oplevelse som i går Maskine virkede efter besøg Nu registrere den igen ikke rensetabs i blå nøgle Der er en pind i nøglehul til blå nøgle Der bruges 2 tabletter,ASA Kvinde fik ikke navn ringede fra tlf 21607550 ,120889,Nej,Nej
WO044768,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 TC,Kommer meget vand i grumseskuffen Observeret det i går samt i dag Oplever ikke at der er vand andre steder ,Kommer meget vand i grumseskuffen Observeret det i går samt i dag Oplever ikke at der er vand andre steder,,132102;104818,Nej,Nej
WO044755,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2,Der løber vand ud af maskinen Set foran køleskab og ved tilløbsslange Maskine medler service ,Der løber vand ud af maskinen Set foran køleskab og ved tilløbsslange Maskine medler service,,,Ja,Nej
WO044765,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2,Løber meget vand ud under maskine under rens Kommer ned på gulvet ,Løber meget vand ud under maskine under rens Kommer ned på gulvet,Ligger eftersyn på denne maskine ,,Måske,Nej
WO044760,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS,Maskine melder nu tom for bønner men er påfyldt og har haft beholder af og på maskine ,Maskine melder nu tom for bønner men er påfyldt og har haft beholder af og på maskine,,,Måske,Nej
WO044599,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 TC,Tabt hukommelsen ,Tabt hukommelsen,Ringet ind til AOK,,Nej,Nej
WO044758,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 RS,Skifte af t blok,Skifte af tblok,oprettet for JJO,127135,Nej,Nej
WO044751,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS,Kakaomotor tilstoppet ,Kakaomotor tilstoppet,ringet ind til AOK,,Ja,Nej
WO044708,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS,Oplevede i går at kaffebønner ikke vil falde ned i kværn meldte tom for bønner I dag melder den vandflowfejl Andre maskiner får fint vand ,Oplevede i går at kaffebønner ikke vil falde ned i kværn meldte tom for bønner I dag melder den vandflowfejl Andre maskiner får fint vand,12 6 24 Te vand flow fejl ved ankomst vand på filter tester ventiler alle funktioner virker efter Modul set efter flowmeter si ok Kørt rengøring ok Log har flow fejl på samtlige opgaver muligvis har der været lukket for vand i kort periode jjj,,Måske,Nej
WO044650,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 TC,Halvdelen af mælken ryger i drypbakken og ikke i koppen Ingen fejlbesked ,Halvdelen af mælken ryger i drypbakken og ikke i koppen Ingen fejlbesked,Tag gerne en ny slange til afløb med da den trænger til at blive skiftet ,127042,Nej,Nej
WO044742,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS,oprettet for AOK utæt i vandpumpen ,oprettet for AOK utæt i vandpumpen,oprettet for AOK,108082,Nej,Nej
WO044702,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P TC,2 af 2 Meget gerne i dag hvis muligt Maskinen kan ikke køre rens Den vil ikke registrere tabs Har været sådan en måneds tid ,2 af 2 Meget gerne i dag hvis muligt Maskinen kan ikke køre rens Den vil ikke registrere tabs Har været sådan en måneds tid,2 af 2 Meget gerne i dag hvis muligt Ved ikke hvem jeg snakkede med Hun kunne knap sige hvor hun ringede fra ,,Ja,Nej
WO044701,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P TC,1 af 2 Meget gerne i dag hvis muligt Det er ikke muligt at trykke på nogle knapper Ser ud til den virker men der sker ikke noget ,1 af 2 Meget gerne i dag hvis muligt Det er ikke muligt at trykke på nogle knapper Ser ud til den virker men der sker ikke noget,1 af 2 Meget gerne i dag hvis muligt Ved ikke hvem jeg snakkede med Hun kunne knap sige hvor hun ringede fra,,Måske,Nej
WO044663,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Kunden oplyser køleskabet ikke køler men varmer Der er tændt for strømmen De har for et par dage siden ringet ind og fået vejledning i at justere det selv men det virker ikke ,Kunden oplyser køleskabet ikke køler men varmer Der er tændt for strømmen De har for et par dage siden ringet ind og fået vejledning i at justere det selv men det virker ikke,,,Ja,Ja
WO044667,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS,Kontakt for kode til at komme ind Kan ikke lave mælkedrikke og melder vandflow fejl Kan fint udlevere kaffe Lavet rengøring og tjekket mælkesug Opdatering 10 45 Kan ikke starte rengøringsprogram melder vandflowfejl ,Kontakt for kode til at komme ind Kan ikke lave mælkedrikke og melder vandflow fejl Kan fint udlevere kaffe Lavet rengøring og tjekket mælkesug Opdatering 1045 Kan ikke starte rengøringsprogram melder vandflowfejl,De åbner først kl 16 men der kan udleveres kode til at komme ind NRB,126326,Nej,Nej
WO044657,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 TC,Maskine er utæt med vand Mente ikke det var under rengøring Fået besked fra kollega ,Maskine er utæt med vand Mente ikke det var under rengøring Fået besked fra kollega,Ringet ind pr tlf 60981792 dame,127140,Nej,Nej
WO044674,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS TC,Maskinen vil ikke udlevere kakao ,Maskinen vil ikke udlevere kakao,Kan se Johnny har et planlagt eftersyn på denne maskine i dag Kan evt tages samtidigt ,124748,Ja,Nej
WO044653,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2,Vil gerne kontaktes inden besøg Grumseskuffen vil ikke registreres i maskine Har forsøgt genstart og tørt skuffen ,Vil gerne kontaktes inden besøg Grumseskuffen vil ikke registreres i maskine Har forsøgt genstart og tørt skuffen,,105694,Nej,Nej
WO044634,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Lækker vand ud på bordet Alex var lidt i tvivl om det var maskinen til højre eller venstre på 2 sal ,Lækker vand ud på bordet Alex var lidt i tvivl om det var maskinen til højre eller venstre på 2 sal,BCA Afventer JW Noter serienummer Høje maskine 200150882,,Ja,Ja
WO044665,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 RS,Kontakt for aftale om besøg Ligger meget mælk under maskine i morges og samme i fredags ,Kontakt for aftale om besøg Ligger meget mælk under maskine i morges og samme i fredags,Står noteret i servicebesøg fra i fredags at den måske skal have nyt mælkemodul NRB,,Nej,Nej
WO044670,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS,Røde pind i rensenøgle er knækket ,Røde pind i rensenøgle er knækket,,133555,Ja,Ja
WO044618,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 RS,Utæt maskine den lækker vand ud på bordet cirka midt for og i løbet af dagen ,Utæt maskine den lækker vand ud på bordet cirka midt for og i løbet af dagen,Meldt ind af kontra ,,Måske,Nej
WO044632,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2,Maskine melder waterflow error ,Maskine melder waterflow error,Meldt ind af Kontra,127140;126968;132878,Nej,Nej
WO044661,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 RS TC extern grums,Rensetabs bliver ikke opløst ved rengøring og maskinen er utæt når der udleveres Drypper ud under bunden ,Rensetabs bliver ikke opløst ved rengøring og maskinen er utæt når der udleveres Drypper ud under bunden,,,Måske,Nej
WO044639,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Slår relæ så snart de starter den op,Slår relæ så snart de starter den op,Maskinen bliver muligvis skiftet 14 6 KAR tjekker med NCB,125665;140704,Nej,Nej
WO044631,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 RS,Melder vandflowfejl,Melder vandflowfejl,ASA Har gjort det ofte iht kunde ,132878,Nej,Nej
WO044583,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS TC,Ankomst i Hirtshals lørdag kl 8 00 afgang 9 30 Maskine i skybar inde har ikke fået oplyst serienummer Er meget lang tid om at brygge en hel normal kop kaffe Er også langsom på andre drikke der skal kaffe i ,Ankomst i Hirtshals lørdag kl 800 afgang 930Maskine i skybar inde har ikke fået oplyst serienummerEr meget lang tid om at brygge en hel normal kop kaffeEr også langsom på andre drikke der skal kaffe i,ASA Er i dialog med AOK om vagtkørsel på denne Sag flyttes når der er fastlagt noget ,,Nej,Nej
WO044585,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Ønsker besøg hurtigt Melder overfyldt brygkammer hver anden gang de tager drik ,Ønsker besøg hurtigt Melder overfyldt brygkammer hver anden gang de tager drik,ASA Meldt ind af LN Kontaktperson Charlotte Ønsker besøg hurtigt ,,Nej,Nej
WO044425,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS TC,Maskines skærm er helt sort og der er lys i knap ved grumseskuffe Forsøgt med genstart ,Maskines skærm er helt sort og der er lys i knap ved grumseskuffe Forsøgt med genstart,,137823R;137823,Nej,Nej
WO044505,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 TC,Kommer fortsat meget vand i grumseskuffen Har stort arrangement lørdag ,Kommer fortsat meget vand i grumseskuffen Har stort arrangement lørdag,Meldt ind af CD ved kundebesøg NRB,104491;132102,Nej,Nej
WO044579,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS,Melder at mælke temperatur i køler er for høj Låge er lukket og mælk er kold Kommer ikke efter rengøring og har ikke skiftet mælk da besked kommer ,Melder at mælke temperatur i køler er for høj Låge er lukket og mælk er kold Kommer ikke efter rengøring og har ikke skiftet mælk da besked kommer,,,Måske,Nej
WO044559,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P TC extern grums,Melder fejl efter bryg Motor ikke i position Hvis de bekræfter vil den godt brygge igen men kommer ved hver bryg Forsøgt at efter maskine ,Melder fejl efter bryg Motor ikke i position Hvis de bekræfter vil den godt brygge igen men kommer ved hver bryg Forsøgt at efter maskine,Ved besøg tag gerne fat i Carl da han mente de manglede en lille del til små maskiner Han kunne ikke lige uddybe hvad ,132102;132878,Nej,Nej
WO044580,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Melder fejl i statusstyreenhed 9 Kan ikke vælge mælkedrikke og rengøring gjort i morges samt mælkeføler er ren og forsøgt med genstart ,Melder fejl i statusstyreenhed 9 Kan ikke vælge mælkedrikke og rengøring gjort i morges samt mælkeføler er ren og forsøgt med genstart,,128896;1449089,Nej,Nej
WO044566,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P TC extern grums,RnJhIG1haWwgSGFyIGbDpWV0IGJlc2tlZCBmcmEgZW4ga29sbGVnYSBhdCBkZW4gwpYgc2VsdiBlZnRlciByZW5zbmluZyDCliBzZW5kZXIga2x1bXBldCBvZyBncnVtc2V0IG3DpmxrIHVkIGRldCBlciBlbiBmcmlzayBtw6ZsayBkZXIgZXIgc2F0IGkg,Fra mail Har fået besked fra en kollega at den – selv efter rensning – sender klumpet og grumset mælk ud det er en frisk mælk der er sat i ,Kunde skal betale da fejl ikke skyldes maskinen men dårlig mælk fra leverandør ,,Ja,Ja
WO044565,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS TC,Stoppet til under mixerskål for kakao ,Stoppet til under mixerskål for kakao,,131816,Ja,Nej
WO044537,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 RS TC,Melder flowerror kan heller ikke køre tevand,Melder flowerror kan heller ikke køre tevand,,126284,Nej,Nej
WO044442,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 TC,Mælkeslange er grøn indvendig ,Mælkeslange er grøn indvendig,ASA Maskine er ikke på TC så jeg kan ikke se om de rengør maskinen hver gang den beder om det Han fortæller at de kører rengøringsprogram igennem hver dag ,128896,Ja,Nej
WO044402,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS TC,Under rens vælter vand ud under maskinen samt ned i grumseskuffen ,Under rens vælter vand ud under maskinen samt ned i grumseskuffen,I land tirsdag kl 8 9,,Måske,Nej
WO044405,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P TC,Ønsker beøg i dag Melder vandflowfejl Har gjort det hele weekenden Der er ikke lukket for vandet ,Ønsker beøg i dag Melder vandflowfejl Har gjort det hele weekenden Der er ikke lukket for vandet,,126285R,Nej,Nej
WO044437,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS TC MDB interface,Kakao mixer stoppet ,Kakao mixer stoppet,,,Ja,Ja
WO044407,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,I fredags slukkede maskinen Der er ikke lys i tænd slukknap Bekræfter at ledning er i stikkontakt ,I fredags slukkede maskinen Der er ikke lys i tænd slukknap Bekræfter at ledning er i stikkontakt,ASA Indmelder pige fik ikke navn måske Sia Tlf 96233200,,Ja,Ja
WO044328,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS TC,Maskinen drypper vand under bunden under drypbakken Værst under rens ,Maskinen drypper vand under bunden under drypbakken Værst under rens,se evt billededokumentation fra tekniker i noten,,Ja,Ja
WO044357,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Ved cafe latte udleverer den ingen mælk melæder ikke fejl Ved kun mælk kommer der nogle gange mælk ud Rengøring laves hver dag ,Ved cafe latte udleverer den ingen mælk melæder ikke fejl Ved kun mælk kommer der nogle gange mælk ud Rengøring laves hver dag,,,Måske,Nej
WO044362,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Kan ikke køre rens,Kan ikke køre rens,,104360;104358,Nej,Nej
WO044366,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Kan ikke køre rens,Kan ikke køre rens,BCA Ringet ind lørdag inden 12 Derfor lørdagsudkald som er dækket af serviceaftale,,Nej,Nej
WO044298,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2,Melder vandflowfejl Er åbent for vand ,Melder vandflowfejl Er åbent for vand,Ligger også service på denne ,104360,Nej,Nej
WO044304,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 TC,Registrere ikke blå rensetabs Ved ikke om piston er knækket Utæthed der blev lavet i går var bag hus til blå rensenøgle ,Registrere ikke blå rensetabs Ved ikke om piston er knækket Utæthed der blev lavet i går var bag hus til blå rensenøgle,Opg kan ikke registrere rense nøgler Modtager pin til modul var trykker ind afløst I processen knækkede vandslange ind samt stik på mælkeslanger begge udredt jjj,128896;1449089,Nej,Nej
WO044329,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2,Maskinen skriver Piston Error og vil ikke køre rens ,Maskinen skriver Piston Error og vil ikke køre rens,,,Nej,Nej
WO044307,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS TC,Der er personale fredag fra kl 8 00 Ønsker weekendvagt hvis ikke det kan nås indenfor normal arbejdstid Stopper til i mixerskål for kakao Har haft mixerskål af for rengøring og gjort rendt nede ved mixermotor uden det hjælper ,Der er personale fredag fra kl 800 Ønsker weekendvagt hvis ikke det kan nås indenfor normal arbejdstidStopper til i mixerskål for kakao Har haft mixerskål af for rengøring og gjort rendt nede ved mixermotor uden det hjælper,,140706,Måske,Nej
