WO,Maskinkategori,Maskinbeskrivelse,Instruktion,Short_description,Teknikker_description,Reservedele,Kundefejl_mads,Faktureret
WO045497,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS TC,Efter 23 kopper mælkedrikke meldes der tom for mælk Mælkebeholder er helt fyldt op føler er helt nede i mælken Tages mælkebeholder og og sættes i igen kan den give 23 kopper mælkedrikke igen og melder så igen at mælkebeholder er tom,Efter 23 kopper mælkedrikke meldes der tom for mælk Mælkebeholder er helt fyldt op føler er helt nede i mælken Tages mælkebeholder og og sættes i igen kan den give 23 kopper mælkedrikke igen og melder så igen at mælkebeholder er tom,Efter 23 kopper mælkedrikke meldes der tom for mælk Mælkebeholder er helt fyldt op føler er helt nede i mælken Tages mælkebeholder og og sættes i igen kan den give 23 kopper mælkedrikke igen og melder så igen at mælkebeholder er tom,127166,Nej,Nej
WO045464,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 RS,"Indmeldt telefonisk 28 11 81 12 Maskinen vil ikke registre tabs i den røde rensenøgle Hun siger den plejer at gå ""stramt"" som den skal den er ikke stram længere","Indmeldt telefonisk 28 11 81 12 Maskinen vil ikke registre tabs i den røde rensenøgle Hun siger den plejer at gå ""stramt"" som den skal den er ikke stram længere","Indmeldt telefonisk 28 11 81 12 Maskinen vil ikke registre tabs i den røde rensenøgle Hun siger den plejer at gå ""stramt"" som den skal den er ikke stram længere",133555,Ja,Ja
WO045423,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Melder rengøringsprogram er afbrudt Ved ikke hvornår i programmet den stopper,Melder rengøringsprogram er afbrudt Ved ikke hvornår i programmet den stopper,Melder rengøringsprogram er afbrudt Ved ikke hvornår i programmet den stopper,,Nej,Nej
WO045424,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Indmeldt af JOH maskinen er utæt og lækker vand VIGTIGT Der skal monteres en Kilo Autotamper i Brasserie Kunsten ved deres Faema denne tages med fra Bentax lager Jeg laver særskilt ordre WO045425 på den,Indmeldt af JOH maskinen er utæt og lækker vand VIGTIGT Der skal monteres en Kilo Autotamper i Brasserie Kunsten ved deres Faema denne tages med fra Bentax lager Jeg laver særskilt ordre WO045425 på den,Indmeldt af JOH maskinen er utæt og lækker vand VIGTIGT Der skal monteres en Kilo Autotamper i Brasserie Kunsten ved deres Faema denne tages med fra Bentax lager Jeg laver særskilt ordre WO045425 på den,120257,Nej,Nej
WO045345,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Ring og aftalk tid for besøg da der ellers er låstEr stoppet til ved kakaomotor lugter meget grimt Kakao virkede indtil for en uge siden Ønsker oprensning af kakaomotor,Ring og aftalk tid for besøg da der ellers er låstEr stoppet til ved kakaomotor lugter meget grimt Kakao virkede indtil for en uge siden Ønsker oprensning af kakaomotor,Ring og aftalk tid for besøg da der ellers er låstEr stoppet til ved kakaomotor lugter meget grimt Kakao virkede indtil for en uge siden Ønsker oprensning af kakaomotor,131816,Ja,Ja
WO045441,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS TC,Ringet ind af NCB Registrere ikke bønnerne korrekt,Ringet ind af NCB Registrere ikke bønnerne korrekt,Ringet ind af NCB Registrere ikke bønnerne korrekt,,Nej,Nej
WO045450,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P TC extern grums,Maskine 5 sal kaffeøVed kakao kommer der kun vand ud Der er tjekket at kakaobeholder er åben og der er ingen blokader i slangerne,Maskine 5 sal kaffeøVed kakao kommer der kun vand ud Der er tjekket at kakaobeholder er åben og der er ingen blokader i slangerne,Maskine 5 sal kaffeøVed kakao kommer der kun vand ud Der er tjekket at kakaobeholder er åben og der er ingen blokader i slangerne,,Måske,Nej
WO045435,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Vand under maskine ved ikke hvorfra Så det efter endt rengøringsprogram,Vand under maskine ved ikke hvorfra Så det efter endt rengøringsprogram,Vand under maskine ved ikke hvorfra Så det efter endt rengøringsprogram,,Ja,Ja
WO045437,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS,Fra mail utæt cacao beholder pulveret siver ud og lander på gulvet,Fra mail utæt cacao beholder pulveret siver ud og lander på gulvet,Fra mail utæt cacao beholder pulveret siver ud og lander på gulvet,,Nej,Nej
WO045408,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS,Maskinen drypper nede under Er set i forbindelse med at der tages kaffe,Maskinen drypper nede under Er set i forbindelse med at der tages kaffe,Maskinen drypper nede under Er set i forbindelse med at der tages kaffe,,Nej,Nej
WO045398,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS TC,Maskine melder vandflowfejl ofte ved Americano eller thevand Bliver de ved med at trykke udleverer den til sidst,Maskine melder vandflowfejl ofte ved Americano eller thevand Bliver de ved med at trykke udleverer den til sidst,Maskine melder vandflowfejl ofte ved Americano eller thevand Bliver de ved med at trykke udleverer den til sidst,,Nej,Nej
WO045357,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 TC MDB-T,Ring og info tid for besøg med navnHar en frikøbskode ønsker denne ændres til ny kode aftal hvilken kode med Nicolaj Udlevere ikke mælk ved mælkedrikke Melder ikke noget omkring mælkedrikkene,Ring og info tid for besøg med navnHar en frikøbskode ønsker denne ændres til ny kode aftal hvilken kode med Nicolaj Udlevere ikke mælk ved mælkedrikke Melder ikke noget omkring mælkedrikkene,Ring og info tid for besøg med navnHar en frikøbskode ønsker denne ændres til ny kode aftal hvilken kode med Nicolaj Udlevere ikke mælk ved mælkedrikke Melder ikke noget omkring mælkedrikkene,,Ja,Ja
WO045393,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 RS TC extern grums,Kaffegrums fanges i maskine i stedet for at falde i grumsudkast affaldsspand i skab under maskinen,Kaffegrums fanges i maskine i stedet for at falde i grumsudkast affaldsspand i skab under maskinen,Kaffegrums fanges i maskine i stedet for at falde i grumsudkast affaldsspand i skab under maskinen,,Nej,Nej
WO045373,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 RS TC,Maskine vil ikke starte Ikke lys i knap Kollega oplyser at den gik ud til sidst i rengøring i går nat,Maskine vil ikke starte Ikke lys i knap Kollega oplyser at den gik ud til sidst i rengøring i går nat,Maskine vil ikke starte Ikke lys i knap Kollega oplyser at den gik ud til sidst i rengøring i går nat,,Nej,Nej
WO045337,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Maskinen er utæt når de kører rens Kommer ud ved kakaosiden ca 05 liter Også nogle gang utæt ved udlevering af kakao,Maskinen er utæt når de kører rens Kommer ud ved kakaosiden ca 05 liter Også nogle gang utæt ved udlevering af kakao,Maskinen er utæt når de kører rens Kommer ud ved kakaosiden ca 05 liter Også nogle gang utæt ved udlevering af kakao,,Ja,Nej
WO045286,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS,Som om den går i stå når den kværner Meldte noget d 26 6 et udråbstegn kan ikke huske hvad den sagdeNår de lukker og åbner for bønnebeholder virker maskinen i lidt tid men driller så igen indtil de igen lukker åbner bønnebeholder,Som om den går i stå når den kværner Meldte noget d 26 6 et udråbstegn kan ikke huske hvad den sagdeNår de lukker og åbner for bønnebeholder virker maskinen i lidt tid men driller så igen indtil de igen lukker åbner bønnebeholder,Som om den går i stå når den kværner Meldte noget d 26 6 et udråbstegn kan ikke huske hvad den sagdeNår de lukker og åbner for bønnebeholder virker maskinen i lidt tid men driller så igen indtil de igen lukker åbner bønnebeholder,104207;104818;104209;104360,Nej,Nej
WO045333,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P TC,Maskinen vil ikke kørt korrekt rens Den tager ikke tabs og efter få sekunder siger den at rens er færdig Genstart virker ikke Kalder samtidig på filterskift,Maskinen vil ikke kørt korrekt rens Den tager ikke tabs og efter få sekunder siger den at rens er færdig Genstart virker ikke Kalder samtidig på filterskift,Maskinen vil ikke kørt korrekt rens Den tager ikke tabs og efter få sekunder siger den at rens er færdig Genstart virker ikke Kalder samtidig på filterskift,,Ja,Nej
WO045313,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS TC,Mælkepumpe virker ikke,Mælkepumpe virker ikke,Mælkepumpe virker ikke,,Ja,Nej
WO045305,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P TC extern grums,Lækker vand fra maskine Ligner det er ved vandtilførsel,Lækker vand fra maskine Ligner det er ved vandtilførsel,Lækker vand fra maskine Ligner det er ved vandtilførsel,,Ja,Nej
WO045288,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Kakao stopper til Har forsøgt at rengøre selv men er tilstoppet længere nede,Kakao stopper til Har forsøgt at rengøre selv men er tilstoppet længere nede,Kakao stopper til Har forsøgt at rengøre selv men er tilstoppet længere nede,124748;131816,Ja,Nej
WO045278,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS TC,Vil ikke udlevere kakao Stopper til i mixerskål og forsøgt at rengøre men ligner det er længere nede det tilstopper,Vil ikke udlevere kakao Stopper til i mixerskål og forsøgt at rengøre men ligner det er længere nede det tilstopper,Vil ikke udlevere kakao Stopper til i mixerskål og forsøgt at rengøre men ligner det er længere nede det tilstopper,,Ja,Ja
WO045268,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS,Kommer næsten ingen kaffe vand ud fa maskine Lyder ikke til at den kan få tryk på vandet Melder ingen fejl,Kommer næsten ingen kaffe vand ud fa maskine Lyder ikke til at den kan få tryk på vandet Melder ingen fejl,Kommer næsten ingen kaffe vand ud fa maskine Lyder ikke til at den kan få tryk på vandet Melder ingen fejl,108082;125446,Nej,Nej
WO045267,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 RS TC extern grums,Maskinen kan ikke give mælkedrikke almindelig kaffe er ok,Maskinen kan ikke give mælkedrikke almindelig kaffe er ok,Maskinen kan ikke give mælkedrikke almindelig kaffe er ok,,Nej,Nej
WO045252,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Der er meget vand i grumseskuffen,Der er meget vand i grumseskuffen,Der er meget vand i grumseskuffen,132102,Nej,Nej
WO045068,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 TC,Sag 2 af 4 Mælkeslange er beskidt og bør skiftes,Sag 2 af 4 Mælkeslange er beskidt og bør skiftes,Sag 2 af 4 Mælkeslange er beskidt og bør skiftes,128896,Ja,Nej
WO045067,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2,Sag 1 af 4 Mælkeslange er beskidt og bør skiftes,Sag 1 af 4 Mælkeslange er beskidt og bør skiftes,Sag 1 af 4 Mælkeslange er beskidt og bør skiftes,128896,Ja,Nej
WO045069,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2,Sag 3 af 4 Mælkeslange er beskidt og bør skiftes,Sag 3 af 4 Mælkeslange er beskidt og bør skiftes,Sag 3 af 4 Mælkeslange er beskidt og bør skiftes,128896,Ja,Nej
WO044841,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 TC,Ved eks latte smider den igen mælk i drypbakken Virkede fint efter sidste besøg men er nu begyndt på det igen,Ved eks latte smider den igen mælk i drypbakken Virkede fint efter sidste besøg men er nu begyndt på det igen,Ved eks latte smider den igen mælk i drypbakken Virkede fint efter sidste besøg men er nu begyndt på det igen,126285R,Nej,Nej
WO045070,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2,Sag 4 af 4 Mælkeslange er beskidt og bør skiftes,Sag 4 af 4 Mælkeslange er beskidt og bør skiftes,Sag 4 af 4 Mælkeslange er beskidt og bør skiftes,128896,Ja,Nej
WO045239,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 RS,Maskine melder flow error,Maskine melder flow error,Maskine melder flow error,,Nej,Nej
WO045193,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P TC extern grums,Maskine BW4c på 3 salMelder water flow error ved valg af kaffe Kværner ikke bønner Kakao udleveres OK,Maskine BW4c på 3 salMelder water flow error ved valg af kaffe Kværner ikke bønner Kakao udleveres OK,Maskine BW4c på 3 salMelder water flow error ved valg af kaffe Kværner ikke bønner Kakao udleveres OK,104360,Nej,Nej
WO045187,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Alle mælkedrikke kan ikke vælges Begge maskiner deler mælk og er påfyldt samt tjekket mælkesug og forsøgt genstart,Alle mælkedrikke kan ikke vælges Begge maskiner deler mælk og er påfyldt samt tjekket mælkesug og forsøgt genstart,Alle mælkedrikke kan ikke vælges Begge maskiner deler mælk og er påfyldt samt tjekket mælkesug og forsøgt genstart,108082;108082;128896,Nej,Nej
WO045106,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS TC,Er i Hirtshals i dag mandag 1825 2000 Onsdag d 26 6 800 930Den vil ikke fuldføre rense programmet og der kommer hele kaffebønner i grumsebeholderenMælkekøleren bliver heller ikke kold nok,Er i Hirtshals i dag mandag 1825 2000 Onsdag d 26 6 800 930Den vil ikke fuldføre rense programmet og der kommer hele kaffebønner i grumsebeholderenMælkekøleren bliver heller ikke kold nok,Er i Hirtshals i dag mandag 1825 2000 Onsdag d 26 6 800 930Den vil ikke fuldføre rense programmet og der kommer hele kaffebønner i grumsebeholderenMælkekøleren bliver heller ikke kold nok,,Måske,Nej
WO045109,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS TC,Er i Hirtshals i dag mandag 1825 2000 Onsdag d 26 6 800 930Den udløser en masse vand under rensning Vi har kigget om kakao beholderen sidder rigtigt,Er i Hirtshals i dag mandag 1825 2000 Onsdag d 26 6 800 930Den udløser en masse vand under rensning Vi har kigget om kakao beholderen sidder rigtigt,Er i Hirtshals i dag mandag 1825 2000 Onsdag d 26 6 800 930Den udløser en masse vand under rensning Vi har kigget om kakao beholderen sidder rigtigt,,Måske,Nej
WO045177,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P TC,Rød rensenøgle er knækket,Rød rensenøgle er knækket,Rød rensenøgle er knækket,133555,Ja,Ja
WO045195,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Kakao flyder over og den sprøjter meget med vand,Kakao flyder over og den sprøjter meget med vand,Kakao flyder over og den sprøjter meget med vand,,Ja,Nej
WO045140,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 RS,Kværnen larmer og køl er for varmt,Kværnen larmer og køl er for varmt,Kværnen larmer og køl er for varmt,,Nej,Nej
WO045138,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 TC,2 ud af 2 maskiner Ved mælkedrikke stemmer mængden af enten kaffe eller mælk ikke overens med typen af drik Laver for lille cappuccino,2 ud af 2 maskiner Ved mælkedrikke stemmer mængden af enten kaffe eller mælk ikke overens med typen af drik Laver for lille cappuccino,2 ud af 2 maskiner Ved mælkedrikke stemmer mængden af enten kaffe eller mælk ikke overens med typen af drik Laver for lille cappuccino,,Nej,Nej
WO045139,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 TC,1 ud af 2 maskiner Ved mælkedrikke stemmer mængden af enten kaffe eller mælk ikke overens med typen af drik Laver for lille cappuccino,1 ud af 2 maskiner Ved mælkedrikke stemmer mængden af enten kaffe eller mælk ikke overens med typen af drik Laver for lille cappuccino,1 ud af 2 maskiner Ved mælkedrikke stemmer mængden af enten kaffe eller mælk ikke overens med typen af drik Laver for lille cappuccino,,Nej,Nej
WO045148,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS,Slange fra filter til maskine er knækket,Slange fra filter til maskine er knækket,Slange fra filter til maskine er knækket,1449726,Måske,Nej
WO045132,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2,Skummer ikke mælk ved hverken latte eller cappuccino,Skummer ikke mælk ved hverken latte eller cappuccino,Skummer ikke mælk ved hverken latte eller cappuccino,120701;101224;127791,Nej,Nej
WO045127,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P TC,Ved rengøring lyder en skinger lyd Der kommer ikke vand ud af maskinen Er i tvivl om der er fejlmeddelelser Der har været skiftet filter på vand til vandhane denne vandhane kommer der vand ud af Der er åben for vandet til kaffemaskinen,Ved rengøring lyder en skinger lyd Der kommer ikke vand ud af maskinen Er i tvivl om der er fejlmeddelelser Der har været skiftet filter på vand til vandhane denne vandhane kommer der vand ud af Der er åben for vandet til kaffemaskinen,Ved rengøring lyder en skinger lyd Der kommer ikke vand ud af maskinen Er i tvivl om der er fejlmeddelelser Der har været skiftet filter på vand til vandhane denne vandhane kommer der vand ud af Der er åben for vandet til kaffemaskinen,,Ja,Ja
WO045089,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 TC,Lækker vand bagtil løbende samt foran ved slange for spildbakke Har eftersæt at der ikke er tilstoppet spildbakke,Lækker vand bagtil løbende samt foran ved slange for spildbakke Har eftersæt at der ikke er tilstoppet spildbakke,Lækker vand bagtil løbende samt foran ved slange for spildbakke Har eftersæt at der ikke er tilstoppet spildbakke,127140;134385,Nej,Nej
WO045080,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2,Maskine melder piston error Hun tror det er noget med rensetabs,Maskine melder piston error Hun tror det er noget med rensetabs,Maskine melder piston error Hun tror det er noget med rensetabs,,Nej,Nej
WO045081,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Vil ikke udlevere mælk har efterset mælkesug og der er påfyldt mælk Ingen fejl på display,Vil ikke udlevere mælk har efterset mælkesug og der er påfyldt mælk Ingen fejl på display,Vil ikke udlevere mælk har efterset mælkesug og der er påfyldt mælk Ingen fejl på display,120701,Nej,Nej
WO045060,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2,Drypper under drypbakken Drypbakken er trykket helt ind Afløb går i kloak,Drypper under drypbakken Drypbakken er trykket helt ind Afløb går i kloak,Drypper under drypbakken Drypbakken er trykket helt ind Afløb går i kloak,,Måske,Nej
WO044946,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P TC extern grums,Udskifte låneskærm på maskine til ny skræm som er dækket under garanti OBS Maskinen skal tilsluttes WIFI  Thermoplan Connect Spørg STR eller CD om yderlig information,Udskifte låneskærm på maskine til ny skræm som er dækket under garanti OBS Maskinen skal tilsluttes WIFI  Thermoplan Connect Spørg STR eller CD om yderlig information,Udskifte låneskærm på maskine til ny skræm som er dækket under garanti OBS Maskinen skal tilsluttes WIFI  Thermoplan Connect Spørg STR eller CD om yderlig information,137823,Nej,Nej
